Latitude,Longitude,Altitude,Distance_m,RSSI_dBm
47.398,8.54616,-0.01,4.1883,-42
47.398,8.54616,0,4.1883,-42
47.398,8.54616,0.02,4.1883,-42
47.398,8.54616,0.04,4.1883,-42
47.398,8.54616,0.33,4.1883,-42
47.398,8.54616,1.36,4.1883,-42
47.398,8.54616,2.61,4.1883,-42
47.398,8.54616,3.69,4.1883,-42
47.398,8.54616,4.52,3.93698,-41
47.398,8.54616,4.98,3.11342,-39
47.398,8.54616,5.01,6.17624,-45
47.3981,8.54616,5.02,10.0268,-50
47.3981,8.54616,5.02,12.8882,-52
47.3981,8.54616,5.02,14.9672,-53
47.3981,8.54616,5.03,16.2199,-54
47.3981,8.54616,5.03,16.6381,-54
47.3982,8.54616,5.03,17.0683,-54
47.3982,8.54616,5.02,17.0683,-54
47.3982,8.54617,5.05,16.956,-54
47.3982,8.54622,5.03,16.9139,-54
47.3982,8.54628,5.04,17.9754,-55
47.3982,8.54631,5.03,18.9035,-55
47.3982,8.54633,5.03,19.3813,-55
47.3982,8.54634,5.02,19.7844,-55
47.3982,8.54634,5.02,19.9753,-56
47.3982,8.54634,5.02,20.014,-56
47.3982,8.54634,5.01,20.014,-56
47.3982,8.54634,5.01,19.9753,-56
47.3981,8.54634,5.06,18.9152,-55
47.3981,8.54634,5.05,15.9229,-54
47.3981,8.54634,5.03,12.8729,-52
47.398,8.54634,5.02,11.12,-50
47.398,8.54634,5.01,10.6842,-50
47.398,8.54634,5.02,10.8434,-50
47.398,8.54634,5.02,10.9856,-50
47.398,8.54634,5.02,11.1904,-50
47.398,8.54634,5.03,11.1904,-50
47.398,8.54634,5.03,11.1904,-50
47.398,8.54633,5.06,9.95543,-49
47.398,8.54627,5.05,6.19998,-45
47.398,8.54621,5.04,3.25567,-40
47.398,8.54619,5.02,3.22305,-40
47.398,8.54618,5.01,3.62762,-41
47.398,8.54617,5,3.95604,-41
47.398,8.54616,5,4.1883,-42
47.398,8.54616,5.02,4.23687,-42
47.398,8.54616,5.02,4.23687,-42
47.398,8.54616,5.02,4.1883,-42
47.398,8.54616,5.02,4.1883,-42
47.398,8.54616,5.03,4.1883,-42
47.398,8.54616,4.97,4.1883,-42
47.398,8.54616,4.32,4.1883,-42
47.398,8.54616,3.67,4.1404,-42
47.398,8.54616,2.97,4.1404,-42
47.398,8.54616,2.28,4.1404,-42
47.398,8.54616,1.58,4.1404,-42
47.398,8.54616,0.88,4.1883,-42
47.398,8.54616,0.18,4.1883,-42
47.398,8.54616,-0.03,4.1883,-42
47.398,8.54616,0.01,4.1883,-42
47.398,8.54616,0.02,4.23687,-42
47.398,8.54616,0.02,4.23687,-42
