Latitude,Longitude,Altitude,Distance_3D_m,RSSI_dBm,AP_Label
47.398,8.54616,0.2,47.2663,-71,cd:b6:52:f6:89:43
47.398,8.54616,0.2,41.9958,-70,85:92:3b:56:c7:33
47.398,8.54616,0.2,46.2759,-71,cf:b0:58:77:a8:b2
47.398,8.54616,0.2,56.0359,-73,90:d7:23:69:16:70
47.398,8.54616,0.2,36.4121,-69,7c:cd:d1:a0:1b:21
47.398,8.54616,0.2,47.2663,-71,cd:b6:52:f6:89:43
47.398,8.54616,0.2,41.9958,-70,85:92:3b:56:c7:33
47.398,8.54616,0.2,46.2759,-71,cf:b0:58:77:a8:b2
47.398,8.54616,0.2,56.0359,-73,90:d7:23:69:16:70
47.398,8.54616,0.2,36.4121,-69,7c:cd:d1:a0:1b:21
47.398,8.54616,0.21,47.2575,-71,cd:b6:52:f6:89:43
47.398,8.54616,0.21,41.9875,-70,85:92:3b:56:c7:33
47.398,8.54616,0.21,46.2688,-71,cf:b0:58:77:a8:b2
47.398,8.54616,0.21,56.028,-73,90:d7:23:69:16:70
47.398,8.54616,0.21,36.4028,-69,7c:cd:d1:a0:1b:21
47.398,8.54616,0.24,47.2313,-71,cd:b6:52:f6:89:43
47.398,8.54616,0.24,41.9626,-70,85:92:3b:56:c7:33
47.398,8.54616,0.24,46.2476,-71,cf:b0:58:77:a8:b2
47.398,8.54616,0.24,56.0044,-73,90:d7:23:69:16:70
47.398,8.54616,0.24,36.3748,-69,7c:cd:d1:a0:1b:21
47.398,8.54616,0.24,47.2313,-71,cd:b6:52:f6:89:43
47.398,8.54616,0.24,41.9626,-70,85:92:3b:56:c7:33
47.398,8.54616,0.24,46.2476,-71,cf:b0:58:77:a8:b2
47.398,8.54616,0.24,56.0044,-73,90:d7:23:69:16:70
47.398,8.54616,0.24,36.3748,-69,7c:cd:d1:a0:1b:21
47.398,8.54616,0.45,47.0475,-71,cd:b6:52:f6:89:43
47.398,8.54616,0.45,41.788,-70,85:92:3b:56:c7:33
47.398,8.54616,0.45,46.0991,-71,cf:b0:58:77:a8:b2
47.398,8.54616,0.45,55.8393,-73,90:d7:23:69:16:70
47.398,8.54616,0.45,36.1788,-68,7c:cd:d1:a0:1b:21
47.398,8.54616,1.4,46.2189,-71,cd:b6:52:f6:89:43
47.398,8.54616,1.4,41.0026,-70,85:92:3b:56:c7:33
47.398,8.54616,1.4,45.4336,-71,cf:b0:58:77:a8:b2
47.398,8.54616,1.4,55.0961,-73,90:d7:23:69:16:70
47.398,8.54616,1.4,35.2943,-68,7c:cd:d1:a0:1b:21
47.398,8.54616,2.57,45.205,-71,cd:b6:52:f6:89:43
47.398,8.54616,2.57,40.0451,-70,85:92:3b:56:c7:33
47.398,8.54616,2.57,44.6282,-71,cf:b0:58:77:a8:b2
47.398,8.54616,2.57,54.1896,-73,90:d7:23:69:16:70
47.398,8.54616,2.57,34.2098,-68,7c:cd:d1:a0:1b:21
47.398,8.54616,3.69,44.2417,-71,cd:b6:52:f6:89:43
47.398,8.54616,3.69,39.1393,-69,85:92:3b:56:c7:33
